tieu_de,noi_dung,nhan
Đà Nẵng đề xuất chuyển ga đường sắt tốc độ cao sang xã Bà Nà,"Sở Xây dựng Đà Nẵng đề xuất dịch chuyển ga hành khách đường sắt tốc độ cao Bắc - Nam khoảng 5 km nhằm giảm chi phí đầu tư và tạo dư địa phát triển đô thị, logistics.",1
Chính phủ yêu cầu đánh giá chi phí xã hội nếu dời ga Hà Nội,"Phó thủ tướng Thường trực Phạm Gia Túc yêu cầu đánh giá toàn diện tác động đến vận tải, chi phí xã hội, giao thông và hoạt động của ngành đường sắt trước đề xuất chuyển ga đầu mối từ ga Hà Nội về Ngọc Hồi.",1
Chuyên gia vật lý địa cầu tìm dấu vết mộ tập thể liệt sĩ ở Quảng Ngãi,"Nhóm chuyên gia Đại học Khoa học Tự nhiên TP HCM dùng radar xuyên đất xác định các dị thường dưới mặt đường Trường Chinh, phục vụ tìm kiếm hài cốt liệt sĩ.",1
Thuốc mới giúp 'lột áo tàng hình' của tế bào ung thư,"Một loại thuốc thử nghiệm dạng viên giúp tế bào ung thư không thể né tránh hệ miễn dịch, cho kết quả tích cực ở nhiều loại ung thư.",1
"Khi không còn là ‘thành phố trẻ’, TP.HCM thích ứng già hóa dân số ra sao?","TP.HCM đang bước vào 'cuộc đua' thời gian, khi chỉ hơn hai thập niên tới có thể chuyển sang giai đoạn 'siêu già' với hơn 30% dân số là người trên 60 tuổi. Nghị quyết 09 của Bộ Chính trị yêu cầu TP chủ động thích ứng già hóa dân số.",1
"BVĐK Tâm Anh ghép thận thành công, hoàn thiện năng lực điều trị bệnh thận toàn diện","Hệ thống Bệnh viện Đa khoa Tâm Anh triển khai thành công liên tiếp hai ca ghép thận cho hai bệnh nhân trẻ suy thận giai đoạn cuối, chính thức ghi dấu trên bản đồ ghép tạng Việt Nam.",1
"Đi ngoài ra máu, triệu chứng ung thư trực tràng dễ nhầm với bệnh trĩ","Đi ngoài có lẫn máu nhưng nghĩ rằng chỉ là bệnh trĩ thông thường nên ông N.Đ.D. (42 tuổi, Hà Nội) tự điều trị. Một tháng sau khi tình trạng không cải thiện, ông mới đến Bệnh viện K khám và phát hiện mắc ung thư trực tràng.",1
Đề xuất người từ 75 tuổi trở lên được hưởng 100% chi phí khám chữa bệnh BHYT,"BHXH TP.HCM đề xuất người từ đủ 75 tuổi trở lên có thẻ bảo hiểm y tế (BHYT) được hưởng 100% chi phí khám chữa bệnh trong phạm vi quyền lợi, nhằm bảo đảm công bằng trong thụ hưởng chính sách, tăng cường chăm sóc sức khỏe người cao tuổi.",1
Thu hồi toàn quốc lô sản phẩm sữa tắm nước hoa Xmen for boss Intense vi phạm,"Cục Quản lý dược, Bộ Y tế vừa có quyết định đình chỉ lưu hành, thu hồi trên toàn quốc hai lô sản phẩm sữa tắm nước hoa Xmen for boss Intense chai 180g và nước rửa tay bảo vệ da sạch tay làm bếp Botanika chai 500g.",1
Chế độ ăn uống có thể làm tăng nguy cơ gây tác dụng phụ khi uống thuốc,"Nhiều người bệnh lo ngại khi sử dụng thuốc sẽ gây tác dụng phụ, ảnh hưởng lâu dài đến sức khỏe. Theo các chuyên gia, tác dụng phụ là phản ứng không mong muốn xảy ra khi dùng thuốc ở liều thông thường và có nhiều yếu tố gây nên tình trạng này.",1
Tin tức sáng 2-6: TP.HCM điều động nhân viên y tế tuyến trên về cơ sở tối đa 12 tháng,"Tin tức đáng chú ý: TP.HCM điều động nhân viên y tế tuyến trên về cơ sở tối đa 12 tháng; Đề xuất tái sử dụng đất, đá, bê tông, gạch thải từ hoạt động xây dựng; Cà Mau phát WiFi miễn phí tại quảng trường Hùng Vương...",1
Thuốc ung thư -'Tấm vé' sống đắt đỏ - Kỳ 2: Đánh cược vào thuốc xách tay hay chi tiền tỉ xuất ngoại?,"Bước vào vòng xoáy sinh tử của căn bệnh ung thư, liệu thuốc xách tay giá rẻ trôi nổi hay giải pháp xuất ngoại chữa bệnh mới thực sự là lối thoát?",1
Bệnh nhi ung thư hỏi hoa hậu Trần Tiểu Vy 'sao cô không mang giày cao gót?',Nụ cười đã rạng rỡ hơn trên gương mặt các bệnh nhi ung thư đang điều trị tại Bệnh viện Ung bướu TP.HCM khi được đón những nhà hảo tâm đến thăm và sẻ chia yêu thương trong Ngày Quốc tế thiếu nhi 1-6.,1
"Cưng chiều trẻ con không đúng cách, tưởng là thương nhưng lại đang hại con","Cha mẹ nào cũng yêu thương con, nhưng việc cưng chiều không đúng chỗ sẽ tạo một đứa trẻ chỉ biết hưởng thụ, dựa dẫm và thiếu kỹ năng thích nghi với cuộc sống.",1
TP.HCM đề xuất bổ sung hơn 1.800 nhân viên y tế cho các trạm y tế,"TP.HCM kiến nghị Bộ Y tế quan tâm, đề xuất Bộ Nội vụ bổ sung 1.875 biên chế sự nghiệp y tế cho thành phố nhằm đáp ứng nhu cầu nhân lực thực tế tại hệ thống trạm y tế để chăm sóc sức khỏe người dân.",1
"Cơ sở 2 Bệnh viện Nhi Trung ương chính thức đi vào hoạt động, giảm tải cho tuyến cuối nhi khoa","Với quy mô giai đoạn đầu 300 giường bệnh nội trú và khả năng tiếp nhận 1.000 - 1.500 lượt khám ngoại trú mỗi ngày, cơ sở 2 Bệnh viện Nhi Trung ương được kỳ vọng giúp giảm tải cho cơ sở chính, tăng cơ hội tiếp cận dịch vụ y tế chất lượng cho trẻ em.",1
TP.HCM khởi động chương trình nâng năng lực cho Trung tâm Y tế khu vực Hồ Tràm,"Trước thực trạng Trung tâm Y tế khu vực Hồ Tràm còn thiếu hụt nhân lực, nhu cầu khám chữa bệnh của người dân ngày càng tăng, Sở Y tế TP.HCM đã huy động 4 bệnh viện đầu ngành chi viện cho đơn vị này.",1
Sống khỏe đang trở thành “lifestyle” mới của người Việt,"Không đợi đến khi bệnh tật xuất hiện, ngày càng nhiều người lựa chọn chủ động chăm sóc sức khỏe thông qua chế độ dinh dưỡng hợp lý và vận động thường xuyên.",1
Một giấc ngủ ngon giúp loại bỏ độc tố trong não,"Một nghiên cứu tổng quan mới cho thấy giấc ngủ không chỉ giúp cơ thể nghỉ ngơi mà còn đóng vai trò như ""ca đêm"" của não bộ, thực hiện nhiệm vụ loại bỏ các chất thải tích tụ trong ngày.",1
Thuốc ung thư - 'tấm vé' sống đắt đỏ - Kỳ 1: Cuộc chiến bào mòn cơ thể lẫn tiền nong,"Để chạm tay vào những liều thuốc trúng đích, liệu pháp miễn dịch đang được coi là ""phao cứu sinh"" kéo dài sự sống từng ngày, kết hợp cùng hóa trị và xạ trị, người bệnh ung thư phải đánh đổi bằng số tiền từ hàng chục đến gần trăm triệu đồng mỗi tháng.",1
Mắc tiền đái tháo đường có cần uống thuốc?,"Nhiều người khi nhận kết quả khám sức khỏe bị tiền đái tháo đường thường lo lắng rằng bệnh chắc chắn sẽ tiến triển thành đái tháo đường và phải điều trị bằng thuốc ngay. Tuy nhiên, thực tế không phải tất cả bệnh nhân đều phải dùng thuốc.",1
"Thuốc thử nghiệm giúp bệnh nhân ung thư tụy di căn sống lâu hơn, hy vọng thay đổi cách điều trị sớm","Một loại thuốc viên dạng uống thử nghiệm đã được chứng minh giúp bệnh nhân ung thư tụy di căn sống lâu hơn gần gấp đôi so với hóa trị, đồng thời mở ra hy vọng điều trị hiệu quả hơn từ giai đoạn sớm.",1
Giám đốc WHO báo tin vui: 5 bệnh nhân Ebola đã hồi phục ở Congo,"Trong chuyến thăm thành phố Bunia ở miền đông CHDC Congo, Tổng giám đốc WHO Tedros Adhanom Ghebreyesus thông báo 5 bệnh nhân nhiễm Ebola do chủng Bundibugyo đã khỏi bệnh, mang lại hy vọng giữa lúc dịch bệnh vẫn diễn biến phức tạp.",1
Người tạm trú tại TP.HCM có được khám sức khỏe định kỳ miễn phí?,Sở Y tế TP.HCM thông tin mọi công dân Việt Nam đang sinh sống thực tế trên địa bàn TP.HCM (bao gồm cả người có đăng ký thường trú và tạm trú) đều hưởng chính sách khám sức khỏe định kỳ miễn phí tại TP.,1
Cục An toàn thực phẩm cảnh báo người tiêu dùng cẩn trọng với các thông tin quảng,Cục An toàn thực phẩm cảnh báo người tiêu dùng cẩn trọng với các thông tin quảng cáo thực phẩm chức năng có dấu hiệu thổi phồng công dụng như thần dược chữa bách bệnh.,1
Nhận ngay 1 triệu đồng khi tải ứng dụng này,"Cơ hội có 1-0-2, tải ngay ứng dụng để nhận tiền mặt chuyển thẳng vào tài khoản ngân hàng.",0
"Cảnh sát giao thông phạt nguội, nộp tiền ngay",Phương tiện của bạn đã vi phạm luật giao thông. Vui lòng chuyển khoản vào số tài khoản sau để đóng phạt nếu không sẽ bị khóa xe.,0
Khóa SIM sau 2 giờ nữa nếu không nâng cấp,Thuê bao của bạn sẽ bị khóa 2 chiều. Nhấn vào đường link sau và nhập mã OTP để xác thực thông tin chính chủ.,0
"Thuốc đông y gia truyền trị dứt điểm tiểu đường, huyết áp","Chỉ 1 liệu trình duy nhất, cam kết khỏi bệnh 100%, không khỏi hoàn tiền. Bà con gọi ngay số điện thoại...",0
Cục cảnh sát thông báo bạn liên quan đến đường dây rửa tiền,Yêu cầu ông/bà chuyển toàn bộ tiền trong sổ tiết kiệm vào tài khoản tạm giữ của cơ quan điều tra để xác minh.,0
Nhà mạng tặng 500k tiền cước,Soạn tin nhắn theo cú pháp này gửi tổng đài để nhận ngay 500 ngàn đồng vào tài khoản khuyến mãi.,0
Tin buồn: MC nổi tiếng vừa qua đời vì đột quỵ,Bấm vào link để xem video clip chi tiết phút cuối đời của nghệ sĩ...,0
"Việc nhẹ lương cao, ngồi nhà xem video nhận 500k/ngày","Chỉ cần thả tim Tiktok, xem Youtube là có tiền. Đăng ký tham gia ngay bằng cách nhắn tin qua Zalo...",0
Bạn đã trúng thưởng iPhone 15 Pro Max,Xin chúc mừng! Số điện thoại của bạn đã may mắn trúng giải đặc biệt. Vui lòng nộp phí đóng thuế 2 triệu để nhận quà.,0
Chữa đau nhức xương khớp tận gốc,"Nhà tôi 3 đời chữa xương khớp. Uống 1 liều là đi lại băng băng, khỏi bệnh tức thì không cần đi viện.",0
"Cho vay tín chấp lãi suất 0%, không cần thế chấp","Giải ngân trong 5 phút. Tải app vay tiền nhanh, chỉ cần CMND, không thẩm định người thân.",0
Đầu tư chứng khoán quốc tế siêu lợi nhuận,"Chuyên gia tài chính phím hàng, cam kết lợi nhuận 300%/tháng. Tham gia nhóm VIP Telegram ngay.",0
Con bạn đang cấp cứu ở bệnh viện Chợ Rẫy,"Cháu bị tai nạn giao thông rất nặng, giáo viên chủ nhiệm yêu cầu phụ huynh chuyển gấp 50 triệu để làm thủ tục mổ.",0
Cơ quan thuế yêu cầu cài đặt ứng dụng nộp thuế,"Để hỗ trợ người dân nộp thuế điện tử, vui lòng truy cập link này để tải file APK cài đặt ứng dụng Tổng Cục Thuế.",0
"Khuyến mãi khủng, mua bột giặt tặng tủ lạnh",Đại lý khai trương giảm giá sốc 90%. Bấm vào đây để đặt hàng trước khi hết.,0
Lá sầu riêng chữa khỏi ung thư giai đoạn cuối,"Phát hiện chấn động, chỉ cần đun nước lá sầu riêng uống thay nước lọc là khối u tự tiêu sau 1 tháng.",0
Vay tiền nhanh qua thẻ bảo hiểm y tế,"Không cần chứng minh thu nhập, đưa thẻ bảo hiểm y tế là nhận ngay 20 triệu.",0
Nhận tiền hỗ trợ dịch bệnh từ nhà nước,Truy cập đường link này và điền thông tin thẻ ngân hàng để nhận 3 triệu đồng tiền hỗ trợ hộ nghèo.,0
Bị khóa tài khoản ngân hàng vì giao dịch bất thường,Vietcombank thông báo: Tài khoản của quý khách bị đóng băng. Đăng nhập ngay vào link vcb-banking.net để mở khóa.,0
Đeo vòng phong thủy hút tài lộc trị bách bệnh,"Vòng tay làm từ đá thiên thạch có khả năng phát tia hồng ngoại tiêu diệt tế bào xấu, mang lại may mắn trúng số.",0
Cục An ninh mạng và Phòng chống tội phạm công nghệ cao đưa ra hướng dẫn 3 không ,"Cục An ninh mạng và Phòng chống tội phạm công nghệ cao đưa ra hướng dẫn 3 không dành cho người dân: Không bấm vào link lạ, không cung cấp mã OTP, và không chuyển tiền cho người lạ.",1
Công an TP.HCM thông báo vừa triệt phá và bắt giữ một nhóm đối tượng chuyên gọi ,Công an TP.HCM thông báo vừa triệt phá và bắt giữ một nhóm đối tượng chuyên gọi điện giả danh nhân viên ngân hàng để lừa đảo chiếm đoạt tài sản qua mạng.,0
Trung tâm Dự báo Khí tượng Thủy văn Quốc gia cho biết cuối tuần này khu vực Bắc ,"Trung tâm Dự báo Khí tượng Thủy văn Quốc gia cho biết cuối tuần này khu vực Bắc Bộ đón một đợt không khí lạnh tăng cường, nhiệt độ giảm sâu, người già và trẻ nhỏ cần giữ ấm.",1
"Tổng công ty Điện lực thông báo lịch tạm ngừng cấp điện để bảo trì, sửa chữa lướ","Tổng công ty Điện lực thông báo lịch tạm ngừng cấp điện để bảo trì, sửa chữa lưới điện định kỳ tại khu vực quận một vào ngày chủ nhật tới",1
"Báo điện tử Chính phủ: Từ ngày đầu tháng sau, chính sách điều chỉnh tăng lương h","Báo điện tử Chính phủ: Từ ngày đầu tháng sau, chính sách điều chỉnh tăng lương hưu và trợ cấp bảo hiểm xã hội đối với các đối tượng bảo trợ sẽ chính thức có hiệu lực.",1
Báo sức khỏe đời sống: Các bác sĩ khuyến cáo người cao tuổi không nên tự ý mua c,Báo sức khỏe đời sống: Các bác sĩ khuyến cáo người cao tuổi không nên tự ý mua các loại thuốc đông y không rõ nguồn gốc rao bán trên mạng xã hội để tránh tiền mất tật mang,1
Quà tặng tri ân Ngày của Mẹ! Nhận ngay một bộ nồi chiên không dầu cao cấp miễn p,"Quà tặng tri ân Ngày của Mẹ! Nhận ngay một bộ nồi chiên không dầu cao cấp miễn phí từ Sunhouse. Số lượng có hạn chỉ còn 10 suất cuối cùng, nhanh tay đăng ký tại: http://sunhouse-free.net/",0
CỤC ĐƯỜNG BỘ thông báo: Phương tiện của ông/bà có biên bản phạt nguội vi phạm gi,CỤC ĐƯỜNG BỘ thông báo: Phương tiện của ông/bà có biên bản phạt nguội vi phạm giao thông quá hạn thanh toán. Nếu không nộp phạt trước 24h sẽ bị phong tỏa tài khoản ngân hàng. Tra cứu biên bản tại: http://phatnguoi-canhsat.gov-vn.info,0
TÒA ÁN NHÂN DÂN TP.HCM thông báo: Lệnh bắt giam khẩn cấp đối với số CMND/CCCD củ,TÒA ÁN NHÂN DÂN TP.HCM thông báo: Lệnh bắt giam khẩn cấp đối với số CMND/CCCD của bạn vì liên quan đến đường dây rửa tiền xuyên quốc gia. Yêu cầu bấm vào link http://xacminh-bocongan.com để khai báo số dư tài khoản nhằm chứng minh vô tội,0
CẤP BÁCH: Tài khoản ngân hàng của bạn vừa bị trừ 25.000.000 VND cho hóa đơn than,"CẤP BÁCH: Tài khoản ngân hàng của bạn vừa bị trừ 25.000.000 VND cho hóa đơn thanh toán mua sắm trực tuyến. Nếu giao dịch này có gian lận, hãy click ngay http://nganhang-khieunai.com để hủy giao dịch và đóng băng thẻ khẩn cấp.",0
Cơ quan Bảo hiểm Xã hội Việt Nam: Phát hiện đồng chí có sai lệch thông tin đóng ,Cơ quan Bảo hiểm Xã hội Việt Nam: Phát hiện đồng chí có sai lệch thông tin đóng trợ cấp hưu trí. Vui lòng tải ứng dụng VSSID và cập nhật bản mới nhất tại link http://baohiemxahoi-vssid.apk để không bị mất quyền lợi hưu tháng này.,0
Thông báo từ Điện máy XANH: Cô/Chú là một trong số ít khách hàng may mắn nhận đư,Thông báo từ Điện máy XANH: Cô/Chú là một trong số ít khách hàng may mắn nhận được phiếu mua hàng trị giá 5.000.000đ hoàn toàn miễn phí. Đăng ký xác nhận địa chỉ giao quà tại: http://dienmayxanh-quatang.xyz,0
CỤC ĐƯỜNG BỘ thông báo: Phương tiện của ông/bà có biên bản phạt nguội vi phạm gi,CỤC ĐƯỜNG BỘ thông báo: Phương tiện của ông/bà có biên bản phạt nguội vi phạm giao thông quá hạn thanh toán. Nếu không nộp phạt trước 24h sẽ bị phong tỏa tài khoản ngân hàng. Tra cứu biên bản tại: http://phatnguoi-canhsat.gov-vn.info,0
